Image Name,Comment,Is_English
aespa2.txt,"Every comeback feels like Aespa is getting more mature, it's nice to see them grow together. 🔥🔥🔥",True
aespa2.txt,I like both Supernova and Armageddon,True
aespa2.txt,Stay healthy my girls I love you,True
aespa2.txt,WINTER BLACK MAMBA ERAAA IS BACKKK!!!,True
aespa2.txt,THE BEST GIRL GROUP,True
aespa2.txt,Winter hair returns to the black mamba area,True
aespa2.txt,#freepalestine🇵🇸 #allayesonrafah🇵🇸 #boyqotisrael,True
aespa2.txt,KARINA CAKEUP BEUT WOI,True
aespa2.txt,winter我的乖宝😭❤️❤️❤️,True
aespa2.txt,winter,True
aespa2.txt,Ioveyou❤️HOUEIAKIRA,True
aespa2.txt,The wolf is mine💙,True
aespa2.txt,Congratulations Queens!!!!💜💙🎉✨,True
aespa2.txt,CONGRATULATIONS 😭💗💗💗💗,True
aespa2.txt,congrats Supernova 4th win❤️‍🔥,True
aespa2.txt,"Giselle hairstyle is too basic, is the hair stylist an internship? If you can’t do be a hair stylist just go home and don’t work. Giselle deserve better, find a new stylist",True
aespa2.txt,CONGRATS GIRLS!!!! SUPERNOVA 4TH WIN ❣️❣️☄️☄️👽👽💙💙🌙🌙🦋🦋⭐️⭐️,True
aespa2.txt,"Armageddon, come on!!",True
aespa2.txt,Congratulations 🎉🎉🎉🎉,True
aespa2.txt,TINGGI NYA CAYANG SAYA,True
aespa2.txt,Damn🔥 that blonde girl 🤧💗,True
aespa2.txt,Love you Karina Giselle Ningning Winter 😍❤️ absolutely gorgeous 😍❤️,True
aespa2.txt,woooooo after a long time🔥,True
aespa2.txt,Congratulations 👏,True
aespa2.txt,MINHAS PRINCESINHAS:CC,True
aespa2.txt,Congrats! All so beautiful 😍😍,True
aespa2.txt,Congratulations queens ! Let's sweep them all ! 😆,True
aespa2.txt,For the first time winter is the tallest 😂,True
aespa2.txt,Winter back to black mamba era,True
aespa2.txt,THEY’RE SO PRETTY OMGGG,True
aespa2.txt,SUKA BGT OTPIT NYA,True
aespa2.txt,Congratulations gurllllssss❤,True
aespa2.txt,CONGRATULATIONS ON THE WIN HARDWORKING GIRLS! AND IM SO PROUD OF YOU GISELLE ON YOUR IMPROVEMENT IN VOCALS AND DANCING!,True
aespa2.txt,Slay that fittttt❤️‍🔥,True
aespa2.txt,as roupas😭😭❤️❤️❤️❤️,True
aespa2.txt,why only giselle didnt get to wear the chain belt ?,True
aespa2.txt,DONT IGNORE BE HUMAN🇵🇸🇵🇸🇵🇸🇵🇸,True
aespa2.txt,Both !,True
aespa2.txt,"I LOVE YOU, AESPA ❤️❤️❤️",True
aespa2.txt,Now that is a good Gigi outfit !!👏,True
aespa2.txt,welcome back winter debut era,True
aespa2.txt,#Rafahonfire🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸,True
aespa2.txt,ADDICTED TO THESE LOOKS 🖤🖤,True
aespa2.txt,"Great job girls, love everything well earned 💙🔥🙌🏻🔥",True
aespa2.txt,aespa hm i really love u but sm ...😭,True
aespa2.txt,ALL EYES ON RAFAH 🇵🇸 #freepalestine,True
aespa2.txt,every comeback eats,True
aespa2.txt,WINTER BLACK MAMBA HAIR ERA IS BACK??!!!,True
aespa2.txt,"i mean, look at the heels 🚶‍♂️🚶‍♂️🚶‍♂️",True
aespa2.txt,"Winter is Elsa herself, the only thing missing was the dress lol lol",True
aespa2.txt,annyeong giselle kiyowo ur so pretty are u need gf?😍😍😍,True
aespa2.txt,the fits 😍😍,True
aespa2.txt,"Both songs are fire im obsessed, keep it up gurls😍❤️‍🔥",True
aespa2.txt,CANTIK CANTIK AMATTT🖤🖤🖤🖤,True
aespa2.txt,Winter and Karina are such a twins😭🔥,True
aespa2.txt,Mothers is mothering,True
aespa2.txt,wives,True
aespa2.txt,"Congratulations my loves, you deserve this and much more!! <33",True
aespa2.txt,"I don't know how to explain this feeling of pride mixed with euphoria and excitement caused by you girls, I love you so much. ☹️🤍",True
aespa2.txt,‪Please have World Tour in USA 🇺🇸 🫰🏻We love you 💕💖,True
aespa2.txt,💝🌹Simply Beautiful & Gorgeous 🌹💝,True
aespa2.txt,You don’t need to tilt/edit the picture to make winter tall 🥹,True
aespa2.txt,winter🩵,True
aespa2.txt,"AESPA are all a great sing and dancer, all a true goddess of the K-POP 😍❤️",True
aespa2.txt,Is it me or when they say “Ima get it done” it sound like Armageddon??,True
aespa2.txt,@cryless.official,True
aespa2.txt,🎉CONGRATULATIONS SUPERNOVA!!🎊 Gonna wait for Armageddon one though❤️🔥😍,True
aespa2.txt,"Proud of you, girls!!❤️🔥😍👏🏻",True
aespa2.txt,Early,True
aespa2.txt,First,True
aespa2.txt,Amo,True
aespa2.txt,CHEGUEI CEDOOOO,True
aespa2.txt,Congratulations girlssss 😍😍👏👏,True
aespa2.txt,CONGRATULATIONS!!,True
aespa2.txt,ATE THAT UP,True
aespa2.txt,YES or YES 👽☄️❣️❣️❣️❣️,True
aespa2.txt,CONGRATULATIONSS🔥👏,True
aespa2.txt,AH CANTIK BGTTT,True
aespa2.txt,Congrats guys super proud of u girls,True
aespa2.txt,CONGRATSSS,True
aespa2.txt,CONGRATSSS❤️❤️❤️,True
aespa2.txt,Congratulations gurls 🔥🔥🔥🔥,True
aespa2.txt,Take care Winter Ningning❤️,True
aespa2.txt,Yess ofc 🔥🔥,True
aespa2.txt,Armageddon fightinggg,True
aespa2.txt,both songs slaying 👊🏻🔥,True
aespa2.txt,Congratulations AESPA 💜🥳🔥,True
aespa2.txt,las amownnn,True
aespa2.txt,Of course 🔥🔥 masterpiece,True
aespa2.txt,WINTER IS SO TALL HERE 😭,True
aespa2.txt,yeayyy u guys deserved😍,True
aespa2.txt,Four goddesses in front of us mere mortals 🙇‍♂️,True
aespa2.txt,I love Armageddon more. But both of them are masterpiece,True
aespa2.txt,Mis mujeres + top 🔥🔥🔥,True
aespa2.txt,WINTER RAMBUTMUU CANTIK SEKALIII,True
aespa2.txt,Congratulations and yes Armageddon album is great 🫶👏,True
aespa2.txt,Yeyyy congrats!👏,True
