Image Name,Comment,Is_English
txt/aespa1.txt,GISELLE the 4th gen hot girl,True
txt/aespa1.txt,CEWEK CEWEKKU😍🔥,True
txt/aespa1.txt,Please come to US 🇺🇸🙏🏻 for World Tour ❤️,True
txt/aespa1.txt,Freaky font caption,True
txt/aespa1.txt,You are very pretty,True
txt/aespa1.txt,not the freaky font😭😭😭😭,True
txt/aespa1.txt,Aespa members are pretty and cool 😍❤️‍🔥,True
txt/aespa1.txt,sm treat Giselle equally!!!,True
txt/aespa1.txt,they look so fine😍,True
txt/aespa1.txt,WHY ARE THEY USING THE FREAKY FONT😭😭😭😭😭😭😭😭😭,True
txt/aespa1.txt,my pretty gals 💜,True
txt/aespa2.txt,We love both the songs ! You guys cooked so hard 🔥,True
txt/aespa2.txt,Love both armageddon and supernova 😍❤️,True
txt/aespa2.txt,"Every comeback feels like Aespa is getting more mature, it's nice to see them grow together. 🔥🔥🔥",True
txt/aespa2.txt,I like both Supernova and Armageddon,True
txt/aespa2.txt,Stay healthy my girls I love you,True
txt/aespa2.txt,WINTER BLACK MAMBA ERAAA IS BACKKK!!!,True
txt/aespa2.txt,THE BEST GIRL GROUP,True
txt/aespa2.txt,Winter hair returns to the black mamba area,True
txt/aespa2.txt,#freepalestine🇵🇸 #allayesonrafah🇵🇸 #boyqotisrael,True
txt/aespa2.txt,KARINA CAKEUP BEUT WOI,True
txt/aespa2.txt,winter我的乖宝😭❤️❤️❤️,True
txt/aespa2.txt,winter,True
txt/aespa2.txt,Ioveyou❤️HOUEIAKIRA,True
txt/aespa2.txt,The wolf is mine💙,True
txt/aespa2.txt,Congratulations Queens!!!!💜💙🎉✨,True
txt/aespa2.txt,CONGRATULATIONS 😭💗💗💗💗,True
txt/aespa2.txt,congrats Supernova 4th win❤️‍🔥,True
txt/aespa2.txt,"Giselle hairstyle is too basic, is the hair stylist an internship? If you can’t do be a hair stylist just go home and don’t work. Giselle deserve better, find a new stylist",True
txt/aespa2.txt,"Armageddon, come on!!",True
txt/aespa2.txt,Congratulations 🎉🎉🎉🎉,True
txt/aespa2.txt,TINGGI NYA CAYANG SAYA,True
txt/aespa2.txt,Damn🔥 that blonde girl 🤧💗,True
txt/aespa2.txt,Love you Karina Giselle Ningning Winter 😍❤️ absolutely gorgeous 😍❤️,True
txt/aespa2.txt,woooooo after a long time🔥,True
txt/aespa2.txt,Congratulations aespa 😍,True
txt/aespa2.txt,Congratulations 👏,True
txt/aespa2.txt,Congrats! All so beautiful 😍😍,True
txt/aespa2.txt,Congratulations queens ! Let's sweep them all ! 😆,True
txt/aespa2.txt,For the first time winter is the tallest 😂,True
txt/aespa2.txt,Winter back to black mamba era,True
txt/aespa2.txt,THEY’RE SO PRETTY OMGGG,True
txt/aespa2.txt,SUKA BGT OTPIT NYA,True
txt/aespa2.txt,Congrats 😍🥰😘🔥,True
txt/aespa2.txt,Congratulations gurllllssss❤,True
txt/aespa2.txt,CONGRATULATIONS ON THE WIN HARDWORKING GIRLS! AND IM SO PROUD OF YOU GISELLE ON YOUR IMPROVEMENT IN VOCALS AND DANCING!,True
txt/aespa2.txt,Slay that fittttt❤️‍🔥,True
txt/aespa2.txt,why only giselle didnt get to wear the chain belt ?,True
txt/aespa2.txt,DONT IGNORE BE HUMAN🇵🇸🇵🇸🇵🇸🇵🇸,True
txt/aespa2.txt,Both !,True
txt/aespa2.txt,"I LOVE YOU, AESPA ❤️❤️❤️",True
txt/aespa2.txt,Now that is a good Gigi outfit !!👏,True
txt/aespa2.txt,Step on me wtf,True
txt/aespa2.txt,#Rafahonfire🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸,True
txt/aespa2.txt,ADDICTED TO THESE LOOKS 🖤🖤,True
txt/aespa2.txt,"Great job girls, love everything well earned 💙🔥🙌🏻🔥",True
txt/aespa2.txt,mother karina 💙😭,True
txt/aespa2.txt,aespa hm i really love u but sm ...😭,True
txt/aespa2.txt,ALL EYES ON RAFAH 🇵🇸 #freepalestine,True
txt/aespa2.txt,every comeback eats,True
txt/aespa2.txt,WINTER BLACK MAMBA HAIR ERA IS BACK??!!!,True
txt/aespa2.txt,"i mean, look at the heels 🚶‍♂️🚶‍♂️🚶‍♂️",True
txt/aespa2.txt,"Winter is Elsa herself, the only thing missing was the dress lol lol",True
